twitch,rank_A,rank,num_days_chat,num_days_video,followers_03
"nova_pc",1,"A",0,0,14
"flash__cs",1,"A",0,0,7
"dittowill",1,"A",0,0,3
"itsanbu_",1,"A",0,0,-1
"snailtopia",1,"A",0,0,256
"naniii1400",1,"A",0,0,6
"bug_cs",1,"A",0,0,54
"cdubs_cs",1,"A",0,0,26
"ac1_smalldick",1,"A",0,0,56
"ar5cs",1,"A",0,0,187
"bau3r",1,"A",0,0,73
"drecsgotv",1,"A",0,0,7
"susflexin",1,"A",0,0,40
"sgblackblood",1,"A",0,0,7
"itzrgt",1,"A",0,0,2150
"carncs_tv",1,"A",0,0,-1
"the_on1y_hydra",1,"A",0,0,130
"onesnaptv",1,"A",0,0,17
"1bondi",1,"A",0,0,23
"debug_tv",1,"A",0,0,86
"bluez00r",1,"A",0,0,-1
"dudeitsaduck",1,"A",0,0,63
"1fxde",1,"A",0,0,12
"remember",1,"A",0,0,254
"largochamp",1,"A",0,0,15
"ruszani",1,"A",0,0,31
"illusiveparagon",1,"A",0,0,3
"maestromiike",1,"A",0,0,-1
"smartcs",1,"A",0,0,137
"suptj",1,"A",0,0,1598
"averageassassin321",1,"A",0,0,0
"tor1towow",1,"A",0,0,-1
"kschneider9",1,"A",0,0,0
"officialf0xey",1,"A",0,0,11
"godthena_tv",1,"A",0,0,135
"calamity5555",1,"A",0,0,65
"theoneal",1,"A",0,0,6
"reham_cs",1,"A",0,0,4
"stellar_cs",1,"A",0,0,290
"bulcsgo",1,"A",0,0,1047
"karmamoose99",1,"A",0,0,-1
"silenxcs",1,"A",0,0,12
"twitch.tv/justzmr",1,"A",0,0,-1
"fangjc_",1,"A",0,0,123
"nicholaspcs",1,"A",0,0,143
"vrfys",1,"A",0,0,-1
"revolt6",1,"A",0,0,8
"feebz_tv",1,"A",0,0,50
"troyboy94",1,"A",0,0,10
"kilroycsgo",1,"A",0,4,91
"solgoat",1,"A",0,1,82
"csr1234",1,"A",0,2,24
"bryfooks",1,"A",0,1,16
"nom_cs",1,"A",0,5,70
"filiwaiiantv",1,"A",0,4,69
"jerk1",1,"A",0,1,139
"oct_tv",1,"A",0,1,-1
"dabearsniner",1,"A",0,1,1027
"spiritedchan",1,"A",0,1,42
"alexb_",1,"A",0,4,86
"1xiro",1,"A",0,2,11
"gunwoundz",1,"A",0,5,37
"nannerss_",1,"A",0,1,16
"g3ditor",1,"A",0,2,59
"clide1d",1,"A",0,10,1231
"red_cyrex",1,"A",0,5,28
"1kosh",1,"A",0,1,8
"ashen_cs",1,"A",0,3,98
"zanderd",1,"A",0,2,69
"jsvague",1,"A",0,4,95
"grxpecs",1,"A",0,1,106
"shaneomj",1,"A",0,1,156
"jmaldocs",1,"A",0,2,56
"gdpink",1,"A",0,5,40
"katsucs",1,"A",0,1,107
"exoticcsz",1,"A",0,5,182
"ylevii",1,"A",0,1,178
"cryptt",0,"B",3,1,139
"khemust",0,"B",1,2,15
"persian_tv",0,"B",1,2,206
"dakzrp",0,"B",1,1,98
"moeseftv",0,"B",5,5,77
"mayorsayso",0,"B",1,1,44
"glyyphh",0,"B",1,3,76
"rheewind",0,"B",7,5,110
"maskk_tv",0,"B",1,5,109
"cilantro_live",0,"B",7,2,200
"jas_cs",0,"B",1,2,49
"caspy",0,"B",5,5,2781
"lilgrizz818",0,"B",5,8,146
"funies",0,"B",6,2,32
"parfilo",0,"B",2,4,963
"dabestchicken",0,"B",3,1,234
"adept_dave",0,"B",8,12,953
"thinkkfirst",0,"B",6,1,73
"benzjamin",0,"B",1,5,28
"jackpot_usc",0,"B",1,4,85
"johnngavinn",0,"B",4,10,81
"uniics",0,"B",1,0,28
"1stillmatic",0,"B",1,0,218
"samster_cs",0,"B",1,0,9
"itsbunch",0,"B",1,0,498
"bigpantv",0,"B",5,0,-1
"the_doobie",0,"B",2,0,58
"crushingit79",0,"B",1,0,210
"masonhtv",0,"B",1,0,43
"oogyl",0,"B",2,0,-1
"scarrcs",0,"B",0,0,3
"itsjemz",0,"B",0,0,47
"mario1234411",0,"B",0,0,-1
"dinger111",0,"B",0,0,6
"chilzay",0,"B",0,0,11
"oriontaker",0,"B",0,0,0
"concuring",0,"B",0,0,196
"rocoiwnl",0,"B",0,0,24
"nerd0cs",0,"B",0,0,34
"razzzyyyyyyy",0,"B",0,0,1
"drunkinzt",0,"B",0,0,1308
"ohfire_",0,"B",0,0,74
"truecaptainlg",0,"B",0,0,2
"syzba",0,"B",0,0,101
"dr4goncsgo",0,"B",0,0,10
"iliketarik",0,"B",0,0,76
"m0t_tv",0,"B",0,0,252
"theonlycozyboy",0,"B",0,0,0
"whitetehshadow",0,"B",0,0,310
"cepiita",0,"B",0,0,0
"iamkayj",0,"B",0,0,69
"rocket2235",0,"B",0,0,193
"heyitsboz",0,"B",0,0,21
"http://twitch.tv/sfXx1",0,"B",0,0,-1
"verzar6",0,"B",0,0,221
"greedosenpai",0,"B",0,0,4
"toureyy",0,"B",0,0,-1
"godmunks",0,"B",0,0,0
"johnsterrr",0,"B",0,0,6
"dgen_tv",0,"B",0,0,2
"noomz_",0,"B",0,0,61
"notthatbajj",0,"B",0,0,3
"fakeem",0,"B",0,0,3
