userid,twitch
915365,poisonnd
424900,tv_deka
2144807,bosschiefman
891345,suptj
1563523,debug_tv
1719657,mististaken
1017145,enterlb
1744237,psychopathclientlive
2104919,kirshier
1975041,1kosh
1682600,very_classic
2149777,whitetehshadow
1137669,averageassassin321
2164239,zealyth_
498856,manzkid
1595002,1mountainog
881721,c0nfusiontv
179289,jsetv
1422664,slayerhz
1127065,immenson
2080937,sizarroowo
778235,xirttv
1221382,tokieze
1200001,samanthaeg
895926,da_ft
1655239,cjxy
1160903,tannersorensen
1426830,carncs_tv
219140,nohobobro
612102,dakzrp
2183254,etossed
1269638,jewkcs
1426898,moechilla
2190412,wrangle
734387,ethxnnnn
1853450,samster_cs
1826067,snoob_
2105432,alcapone807
1805447,the_merit
237029,msxshots
2190415,dire_cs
826034,sotz02
2186789,soggybiscuit99
1366106,chawkgaming
1064814,andrewemory1997
864071,bertnasty_
2118979,scem
1037915,ehhspartan
2041291,godmunks
1711297,sw_i_ms
221979,heartbreaker_tv
627886,bmaxgg
1545680,itsdadbod
2147013,jonnyza
1477865,german66
2199596,synge
1889771,strok
1735899,the_on1y_hydra
1015443,honglyy
834309,phightme
1103454,chill3k
1125196,vrfys
2162569,mattcdoeyt
673550,nicholaspcs
83352,yayooo_tv
1462170,lilpanda285
1816469,nom_cs
1220090,1cojomo
2169175,sushizcs
1051350,nzer0name
1027586,tflug
2017219,pyuxfn
877056,root1
319450,johnsterrr
521309,hellzaoocsgo
566896,jtgpc
1349170,itsofficialnathan
1171045,austingw
1852717,tstagered
1562665,gamerbrozcs
79017,fpsfootwork
1407710,scorchyybc
2171513,zan3rg
513231,sn0wdog
942808,matriick
1406820,bot_sh4rk
1873275,vitobad
1748646,spcfoxtv
940171,bau3r
1435201,iserac
1184553,iowaaa
1101518,fkmdead
1875185,lfirztl
534662,joelxyz
1373250,reekris87
720764,hydrexcs
2178624,itswokkk
1651287,xperplexity
2148884,pawesome28
1161097,blakerscs
2144820,creationfml
1789746,discountheroin
1710352,smithninjas
1851577,ryderrz
695200,wreckfesttv
422476,kimatarokisharo
2140828,killswitch_srx
1478657,wholewheatpete
1921329,zenixxcs
1551600,hunt__tv
1474839,xanxiwnl
2102201,conankun
2110354,gfmileo
1128003,caspy
1086545,fazex_cs
199440,drunklypuff
1610273,goldiwnl
2066255,kemoi12
1801092,dr4goncsgo
1083657,a3har
872354,fudgeyb
228085,fakeem
2197479,br3ac
1841774,daemgg
1585047,theflank_
1342782,tyler_a_lot
1596468,aggroh_
1439498,cdubs_cs
1218227,nightsifyy
2003263,lilgrizz818
1428542,average16
1000120,asuna_csgo
561808,lowridercs
1671229,xelas_
872592,shabakahd
685864,axylus
1322267,rootzcs
1198900,thinkkfirst
806084,lolmonster
1883434,onesnaptv
1906736,swervey
1911781,1oof
273979,serene1
892988,fvrop
626973,draxido
1607095,runawaychickenx
1147905,fauxypoo
1103249,tomasfoolery
874002,robbyo
779198,cajiky
1124695,thepockypanduh
114430,bigpantv
1523627,mattchuwu
750,jstartv
1753638,sniper_central777
1677170,gorgasuarusrex
918091,krappydaklownjunior
1897855,johnngavinn
2120168,lazy_bum_
1290924,jamzwithyamz
1591817,b0t_mike
1524291,razzzyyyyyyy
853226,danknastycs
1187174,dicezzz
1312499,thomas_cs1
176648,biggyjtv
909121,yeetcs
192096,codan1
349560,sanson_tv
843423,joshinthebox169
2160022,quantum_0
1291234,skrubwreckxor
1923242,daseegs
1277499,moonlight916
2079759,susflexin
1287011,1fxde
622601,theia
2083082,roguexlimitz
579126,bert_cs
691780,ihideinplants
575343,kilroycsgo
683048,jeffrey_son
736710,nguyen_cs
1573821,flippybitsgg
2216308,natani_k
1216030,omgkam
561772,eseasuperlit
1594041,flowjoey
475032,reham_cs
10124,chaddypz
1329798,mala
2194185,mello_kimochi
1712927,hated2k
1080334,theoneal
1666920,brian2k_cs
1501451,andrhw
1422755,kanpeki_xd
1795297,buddahkb
1228105,pattylovesyou
1980041,k3vin_csgo
1738445,citoxez
2133239,deevo1ac
1089423,spidarmd
1989597,itsbunch
881425,kraytosthegod
1901005,scruffy_shrooms
1516618,themanghandi
1231670,benzjamin
2190540,trixster604
1253204,blique_
1959511,dittowill
1047554,puggcsgo
2043663,naynay2003
2034503,proteustv
1657231,clasia
893328,solgoat
1342031,pixlhd
840146,nakers
1491281,zfranks
1596122,frino
1905004,feralcod
763328,cin_csgo
838407,fiendlul
2167113,h0axtv
2029648,truecaptainlg
1124574,fadedabeast
920374,tmay
1858979,jewish_jailbait
281947,realsicko_tv
1203970,mada_cs
539400,hazardouslive
1201086,zaddynguyens
1717600,plutomonium
172196,bo0mie
1230969,vujayy
927194,stellar_cs
2138028,calamity5555
2056541,dukeester
968062,drhippo
229817,adeadkennedy
1266377,universeftw
855435,itzsocks
965326,l1sp1
1695742,hotsaucek2
256971,hayko24
1591339,filiwaiiantv
2182245,puyang
1998283,g3ditor
1113360,sharkie_tv
782627,antyy_
510918,brndng
1124516,katernum
1474540,jackpot_usc
1412104,allingaming23
1116615,shaneomj
2189453,bayys
1960495,sigilover
1391895,naniii1400
1085029,hayon_tv
595962,kaboosecs
1170603,chilzay
1042815,khemust
1611873,ezgrub
1895874,colbzz
1462289,wyycked
516447,h0pt0wn
537978,lukeenxy
1457173,rocket2235
636240,soresoul
1456851,therealflixxy
1872452,hokku
1057343,shrek515
1162921,masstibbs
259740,jerbear1g
753100,spiritedchan
1170617,jsvague
1242193,brawktv
30768,buzzer285
2063416,king_auzie
1278009,ashen_cs
781883,1mannym
996109,mfxolddie
710692,strik3r_13
1629255,fallspirts
754172,landmaz
705971,firestar951
1698470,birdman2642
1742615,micklo
1633358,heyitsboz
199180,clide1d
1147207,bulcsgo
1873186,mario1234411
2157154,bighurtz
656139,hardenzz
1773393,nwgteddy
1306900,the_zcampy
1162149,cookiiescs
787923,waveum
1940214,zlbyjuanes
1729329,westcentralzz
1318008,shots____
1543203,hello_kaykay
1094788,dalegod
2193348,ice_kodiak
541958,https://twitch.tv/lopezomg
1204921,ohfire_
485293,lumaaz
1043926,m0t_tv
708852,wellycsgo
175105,http://twitch.tv/sfXx1
1026125,feedaleelol
1112296,ipleadthe5cs
422382,twinnntv
761465,traviskun_
679944,codetv
486075,csgo_will
1203132,c0mcsgo
2092175,moroncs
1807851,uniics
1529645,faddddd
8649,hereisx
1595129,an1k1ngaming
1908195,spookeehead
2178123,fortwoecs
1118107,itsjemz
1622615,h_cookie
2155031,imadoritoaddict
1961793,kekbun
2215508,gr1m_gg
2135544,gleamdream
605407,malbsmdsaiyajin
1100937,jas_cs
1279588,muppet4k
1397578,prominence_god
174287,lexcs
348520,m2g_tv
837054,ylevii
508952,mikeoak_
736704,jitterscs
826121,xzhuu
1275786,bryfooks
150816,remember
1242799,silenxcs
1145331,trimbibs
2092748,rypht_
1707489,passionite
2157704,reedwh
1061477,b1gj03
1453099,xmalsz
1795538,slight___
1020135,oomoomanoo
1121737,vokusx
712419,tenz
1709495,drecsgotv
194149,twitch.tv/justzmr
948953,oogyl
1235929,cyanoodle
1815677,bankzcs
204291,xxslayerrulesxx
446371,parfilo
1553771,crimzzz
711062,muzz1etv
2083783,crushingit79
1047837,deadhuntar
1211373,brine_tv
1242875,intry
1202907,iamthebuffalo21
1119597,adept_dave
726074,imskizzy
1090051,suplexfps
348455,csr1234
1521951,jetty
2146958,swazired
498255,dragunoxtv
1206791,tylercheetah
1636768,dyl0210
1238258,abcdroid
94126,trig8787
90370,cuz1h
1294953,xajs
1173927,nitsua_tv
1989853,sbunkwn
2196948,tai___d
371745,bluez00r
2148862,doctormonsta
1099978,ctbtv_
2058386,rumbita13
1215113,jaz0_
1815418,ttvnyko
864080,noxio
626199,masamxne
1861136,red_cyrex
1693187,frownnn
1501366,forksgaming
736042,ar5cs
2052814,palummbus
1228090,edp__
1070424,tylerstv
1644544,not_luckyduck38
1367470,genesis_j
1305838,fluxtvcs
1915903,g_boy02
522385,ro_cs
1131353,ac1_smalldick
1574769,itaroo_bot
1282231,izamosa
1141216,ruszani
878680,cmxcsgo
1117898,retroxox
1078276,kazzancs
1336083,joltscs
2217511,8eartrap
1899786,monstarytx
713359,truepain_
456120,ironman_ts
809079,jms832
1084206,dudeitsaduck
2168606,k4likz
1329850,monstrocitie
1980382,jdpaulblart
1854089,karmamoose99
825088,dellzorfn
2060722,kingstontv
1268371,ticksc
2062411,friskytv
1930671,namhel_cs
362907,drrtysal
1919754,theanonymousrory
854212,killamanja_
1785793,mockcs
776501,yatoyogurt
1334943,mrsuccessful1
1861704,hobbitender
2132684,ogdamon
1509502,mike_qq
1390415,rowdyycs
1711454,oriontaker
2182127,venezuelanbean
384643,tuulio
2075866,jack1
1449790,grxpecs
1931152,greedosenpai
905562,persian_tv
1222938,d0minictv
1947748,rovszn
2157086,drefehc
889179,predd7661
2162153,1perkyomg
1055550,cjpriku
2023088,fruxc
1989855,chqrlslol
660580,theprince_cs
1183753,aka_jermaine
1480267,munklotz
2017276,vizzuaal
138043,smoakland22
201328,moonytv
1375344,sambosaiz
1695086,aecolin
1306828,gunwoundz
1319661,jihad
2054324,rabbit_2117
1221549,voltz420
